protocol,payload_profile,stage_concurrency,vus,samples,latency_avg_mean_ms,latency_avg_median_ms,latency_avg_stdev_ms,latency_p95_mean_ms,latency_p95_median_ms,latency_p95_stdev_ms,throughput_mean_rps,throughput_median_rps,throughput_stdev_rps,total_failure_mean_pct,total_failure_median_pct,total_failure_stdev_pct,slow_failure_mean_pct,slow_failure_median_pct,slow_failure_stdev_pct,cpu_avg_mean_pct,cpu_avg_median_pct,cpu_avg_stdev_pct,cpu_peak_mean_pct,cpu_peak_median_pct,cpu_peak_stdev_pct,mem_used_mean_mb,mem_used_median_mb,mem_used_stdev_mb
RABBIT,small,150,100,3,208.38,208.37,0.09,237.66,237.7,2.37,503.31,503.38,0.42,0.0,0.0,0.0,0.0,0.0,0.0,59.31,60.59,2.61,197.49,199.24,4.16,3522.0,3524.0,7.21
RABBIT,small,150,200,4,205.99,205.92,0.21,221.49,221.38,0.91,1013.65,1019.37,11.68,0.0,0.0,0.0,0.0,0.0,0.0,93.36,96.53,12.55,227.56,229.23,5.07,3616.25,3582.5,71.22
RABBIT,small,150,400,4,205.66,205.57,0.24,214.69,214.44,0.63,2030.41,2039.81,21.09,0.0,0.0,0.0,0.0,0.0,0.0,149.5,148.0,11.09,289.59,289.53,4.62,3727.5,3695.0,71.17
RABBIT,small,150,800,4,269.53,269.51,0.18,296.82,296.62,1.77,3084.63,3098.06,28.76,0.0,0.0,0.0,0.0,0.0,0.0,176.59,176.21,9.07,321.78,323.06,8.83,3777.25,3745.5,71.71
RABBIT,small,150,1000,3,335.92,335.87,0.25,357.83,357.76,0.36,3099.92,3100.22,1.42,0.0,0.0,0.0,0.0,0.0,0.0,177.26,175.85,4.21,328.63,328.79,1.26,3781.67,3777.0,27.3
RABBIT,small,10000,100,3,210.12,210.0,0.63,232.78,232.94,1.82,474.63,475.09,1.45,0.0,0.0,0.0,0.0,0.0,0.0,67.65,63.85,10.45,195.95,195.22,2.22,3486.67,3495.0,23.63
RABBIT,small,10000,200,4,207.34,207.76,0.92,219.84,219.74,0.53,969.84,960.47,19.26,0.0,0.0,0.0,0.0,0.0,0.0,95.96,96.0,10.82,236.76,228.81,18.12,3573.75,3518.0,113.54
RABBIT,small,10000,400,4,206.7,207.18,1.03,213.18,212.99,0.74,1945.09,1925.83,41.48,0.0,0.0,0.0,0.0,0.0,0.0,151.19,153.49,8.19,286.68,285.27,6.76,3665.25,3611.0,116.64
RABBIT,small,10000,800,4,208.36,208.73,0.91,215.91,215.47,1.22,3856.54,3821.19,75.76,0.0,0.0,0.0,0.0,0.0,0.0,248.47,248.38,2.29,397.23,397.91,6.7,3713.25,3662.0,115.53
RABBIT,small,10000,1000,3,211.74,211.77,0.09,221.27,221.6,0.67,4704.65,4705.1,1.81,0.01,0.0,0.02,0.01,0.0,0.02,276.84,275.89,9.35,424.28,420.3,8.05,3667.0,3669.0,12.12
REST,heavy,50,200,1,330.77,330.77,,365.28,365.28,,620.17,620.17,,0.11,0.11,,0.11,0.11,,180.59,180.59,,250.25,250.25,,3726.0,3726.0,
REST,heavy,50,400,1,673.78,673.78,,710.95,710.95,,601.38,601.38,,0.74,0.74,,0.74,0.74,,177.58,177.58,,223.55,223.55,,3818.0,3818.0,
REST,heavy,50,800,1,1360.0,1360.0,,1250.0,1250.0,,587.66,587.66,,42.63,42.63,,42.63,42.63,,181.32,181.32,,190.43,190.43,,3926.0,3926.0,
REST,heavy,100,200,1,319.59,319.59,,351.28,351.28,,638.38,638.38,,0.0,0.0,,0.0,0.0,,178.1,178.1,,223.56,223.56,,3753.0,3753.0,
REST,heavy,100,400,1,673.42,673.42,,719.21,719.21,,602.37,602.37,,0.74,0.74,,0.74,0.74,,184.66,184.66,,225.01,225.01,,3836.0,3836.0,
REST,heavy,100,800,1,1370.0,1370.0,,1310.0,1310.0,,581.18,581.18,,47.49,47.49,,47.49,47.49,,171.9,171.9,,199.06,199.06,,3966.0,3966.0,
REST,heavy,150,200,1,330.38,330.38,,365.05,365.05,,621.82,621.82,,0.17,0.17,,0.17,0.17,,178.59,178.59,,218.16,218.16,,3753.0,3753.0,
REST,heavy,150,400,1,665.68,665.68,,707.73,707.73,,610.09,610.09,,0.73,0.73,,0.73,0.73,,184.86,184.86,,222.36,222.36,,3832.0,3832.0,
